customerid;DOB;gender;address;job
0000000014;20/04/1999;Nữ;Bùi Khu/Quận Gò Vấp/TP.HCM;worker
0000000034;18/04/1998;Nam;Vũ Tổ/Quận Bình Thạnh/TP.HCM;worker
0000000051;18/12/1993;Nam;Phạm Dãy/Quận 7/TP.HCM;worker
0000000081;10/11/1999;Nam;Jane Tổ/Quận Gò Vấp/TP.HCM;worker
0000000098;03/10/1994;Nam;Hoàng Tổ/Quận Bình Thạnh/TP.HCM;worker
0000000109;07/05/1999;Nam;Jane Dãy/Quận 7/TP.HCM;worker
0000000221.;18/01/1993;Nam;Bùi Đường/Quận Gò Vấp/TP.HCM;worker
0000000228;11/11/1995;Nam;John Số/Quận 3/TP.HCM;worker
0000000229;16/01/1992;Nam;Nguyễn Ngõ/Quận 3/TP.HCM;worker
0000000266;03/01/1995;Nam;Jane Dãy/Quận 1/TP.HCM;worker
0000000268;09/12/1996;Nam;John Tổ/Quận 7/TP.HCM;worker
0000000285;31/07/1992;Nữ;Dương Hẻm/Quận 3/TP.HCM;worker
0000000297;20/07/1993;Nữ;Jane Số/Quận 7/TP.HCM;worker
0000000309;06/03/1996;Nữ;Hoàng Đường/Quận 3/TP.HCM;worker
0000000328;30/03/1994;Nam;Jane Số/Quận Gò Vấp/TP.HCM;worker
0000000375;22/03/1995;Nam;Mai Làng/Quận 1/TP.HCM;worker
0000000384;24/11/2002;Nữ;Jane Đường/Quận 1/TP.HCM;student
0000000385;04/12/2002;Nữ;Jane Đường/Quận Bình Thạnh/TP.HCM;student
0000000415;27/07/1998;Nữ;Hoàng Làng/Quận 3/TP.HCM;worker
0000000502;03/09/1996;Nam;John Hẻm/Quận Gò Vấp/TP.HCM;worker
0000000509;30/10/2002;Nữ;Jane Dãy/Quận Gò Vấp/TP.HCM;student
0000000541;08/06/1999;Nữ;Jane Hẻm/Quận 7/TP.HCM;worker
0000000558;09/01/1994;Nam;John Hẻm/Quận 3/TP.HCM;worker
0000000576;13/01/2016;Nam;Bùi Làng/Quận Gò Vấp/TP.HCM;teenager
0000000591;10/10/1996;Nữ;Bùi Đường/Quận Gò Vấp/TP.HCM;worker
0000000622;13/10/1994;Nữ;Đặng Dãy/Quận 1/TP.HCM;worker
0000000643;26/07/1997;Nữ;Jane Hẻm/Quận Gò Vấp/TP.HCM;worker
0000000659;18/11/1997;Nam;Mai Dãy/Quận Bình Thạnh/TP.HCM;worker
0000000673;21/12/1999;Nam;John Tổ/Quận 1/TP.HCM;worker
0000000677;15/11/1986;Nam;Jane Khu/Quận Gò Vấp/TP.HCM;worker
0000000685;24/09/1998;Nữ;Hoàng Đường/Quận 1/TP.HCM;worker
0000000751;03/09/1995;Nữ;Đặng Đường/Quận 7/TP.HCM;worker
0000000765;23/09/2000;Nữ;John Dãy/Quận 3/TP.HCM;worker
0000000777;09/12/1994;Nữ;Lê Làng/Quận 7/TP.HCM;worker
0000000782;19/04/1998;Nữ;John Đường/Quận Gò Vấp/TP.HCM;worker
0000000785;15/07/1999;Nữ;John Ngõ/Quận 1/TP.HCM;worker
0000000803;17/08/1996;Nữ;Jane Đường/Quận 7/TP.HCM;worker
0000000869;14/05/1994;Nữ;Jane Làng/Quận 1/TP.HCM;worker
0000000902;26/03/2003;Nữ;Jane Đường/Quận 3/TP.HCM;student
